open,high,low,close,volume,amount,timestamps
7.2000475,7.2340937,7.1951137,7.226715,228586.25,1621082.0,2025-09-19 15:01:00
7.228212,7.241795,7.215773,7.2286596,281669.12,2020718.2,2025-09-19 15:02:00
7.2375875,7.2606454,7.2273927,7.24913,272490.38,1974224.5,2025-09-19 15:03:00
7.308874,7.3121066,7.25235,7.2565465,221367.55,1635396.2,2025-09-19 15:04:00
7.274485,7.2811384,7.25257,7.260824,243872.2,1774454.5,2025-09-19 15:05:00
7.2913213,7.30363,7.2669306,7.273737,205669.03,1505349.2,2025-09-19 15:06:00
7.2872186,7.307079,7.277546,7.2930408,252286.84,1859675.8,2025-09-19 15:07:00
7.2831025,7.3134966,7.2760296,7.304825,267382.9,1950319.5,2025-09-19 15:08:00
7.3098288,7.34456,7.303685,7.3315277,309946.34,2292250.0,2025-09-19 15:09:00
7.317031,7.341581,7.3040524,7.324819,310234.94,2217416.0,2025-09-19 15:10:00
7.328114,7.3663487,7.3221235,7.357904,185066.8,1381777.5,2025-09-19 15:11:00
7.32503,7.3771095,7.315324,7.341986,194104.72,1436870.2,2025-09-19 15:12:00
7.3382807,7.3639984,7.3286166,7.3523827,192525.92,1466918.0,2025-09-19 15:13:00
7.2884026,7.3332963,7.287568,7.327989,201953.97,1436815.6,2025-09-19 15:14:00
7.325431,7.337186,7.29132,7.3097315,232506.19,1699265.8,2025-09-19 15:15:00
7.320173,7.3496656,7.3109655,7.334278,155848.4,1166517.8,2025-09-19 15:16:00
7.329726,7.3567414,7.3227906,7.3496227,180517.8,1352745.8,2025-09-19 15:17:00
7.3488135,7.3627605,7.3406563,7.3548436,76936.67,572920.25,2025-09-19 15:18:00
7.344202,7.3596687,7.3046055,7.3507905,115427.04,846522.6,2025-09-19 15:19:00
7.362595,7.359589,7.3164625,7.3141847,86205.4,646305.06,2025-09-19 15:20:00
7.312285,7.4136453,7.3071427,7.3786597,218982.45,1589589.5,2025-09-19 15:21:00
